run_id,experiment_name,run_name,status,start_time,direction,dataset_version,model,balance_method,learning_rate,batch_size,epochs,patience,eval_frequency,best_chrf,best_epoch,eval_chrf,eval_bleu,total_training_time_minutes,early_stopped,final_epoch
ca459b9bea104bb4a0abcae0c73425ae,awajun_translation_es2agr,5. NLLB-600M,FINISHED,2025-07-16 12:26:35.312000+00:00,es2agr,v1,nllb-600M-distilled,none,3e-05,16,20,3,N/A,34.722903495457984,18.0,34.61957592768494,6.657763691039842,485.3657227993011,0.0,20.0
9411e2beec54491d991d41aa0c8d2f51,awajun_translation_agr2es,NLLB-1.3B | Original | Oversample,FINISHED,2025-10-19 18:16:13.620000+00:00,agr2es,v1,nllb-1.3B-distilled,oversample,3e-05,8,25,10,1,34.66055246431376,6.0,33.740769851648515,14.07827431674201,706.1719187577565,1.0,17.0
5526c343f7f9470aac421755c181b1d2,awajun_translation_agr2es,NLLB-1.3B | Original | Ninguno,FINISHED,2025-09-26 05:49:08.744000+00:00,agr2es,v1,nllb-1.3B-distilled,none,3e-05,10,30,5,,34.60353634443451,5.0,34.05482700190739,14.872743956783115,422.5138060092926,1.0,11.0
7f9e14ffe50a4afeb98c537f82addc1e,awajun_translation_es2agr,2. NLLB-600M,FINISHED,2025-07-16 04:17:52.171000+00:00,es2agr,v1,nllb-600M-distilled,weighted,3e-05,16,20,3,N/A,31.874716034304303,19.0,31.874716034304303,5.030129088182846,481.90179324150085,0.0,20.0
fefe8a730c8f419f92fc58f6af3bbb8d,awajun_translation_agr2es,5. NLLB-600M,FINISHED,2025-07-16 07:21:58.992000+00:00,agr2es,v1,nllb-600M-distilled,none,3e-05,16,20,3,,31.732002039960516,13.0,31.6642963201211,11.946678055956594,311.2642722328504,1.0,17.0
604b1eb9ea2a40f7a673878996903ae5,awajun_translation_agr2es,2. NLLB-600M,FINISHED,2025-07-16 00:04:42.210000+00:00,agr2es,v1,nllb-600M-distilled,weighted,3e-05,16,20,3,,30.368386298664774,18.0,30.356602728992005,11.147392121512231,367.94707929293315,0.0,20.0
a078ccfc24284d0fbe45605fff9cdb74,awajun_translation_es2agr,1. NLLB-600M,FINISHED,2025-07-15 17:53:51.970000+00:00,es2agr,v2,nllb-600M-distilled,none,3e-05,16,20,3,N/A,34.72482386475881,17.0,34.49818016452505,6.619164549040969,623.6336612621943,0.0,20.0
2fbdc0ecb4644a669e8a40daccd8c2b7,awajun_translation_es2agr,6. NLLB-600M,FINISHED,2025-07-16 20:32:20.725000+00:00,es2agr,v2,nllb-600M-distilled,weighted,3e-05,16,20,3,N/A,33.15064327169554,19.0,33.15064327169554,5.877813878997124,626.6945494492849,0.0,20.0
e66a7a43043048d5b0bb49efc5ff9621,awajun_translation_agr2es,1. NLLB-600M,FINISHED,2025-07-15 17:49:06+00:00,agr2es,v2,nllb-600M-distilled,none,3e-05,16,20,3,,32.2139462324288,13.0,32.195230304521374,12.212347003454024,375.2299733360608,1.0,15.0
d8936bae6eb34f66a229f74eb8771de6,awajun_translation_agr2es,6. NLLB-600M,FINISHED,2025-07-16 12:33:38.068000+00:00,agr2es,v2,nllb-600M-distilled,weighted,3e-05,16,20,3,,31.853656648731548,18.0,31.648006151300695,12.010069272825882,517.352808701992,0.0,20.0
32842abde26f4ec09d806c977819175d,awajun_translation_agr2es,NLLB-1.3B | Sintético | P100 | Oversample,FINISHED,2025-10-14 21:41:46.497000+00:00,agr2es,v3,nllb-1.3B-distilled,oversample,3e-05,8,25,10,1,35.029262638185216,5.0,33.60177213584736,14.004799715265618,1122.4864712953568,1.0,16.0
89f0141bc0cf4afcb537e1d5e109bb7c,awajun_translation_agr2es,NLLB-1.3B | Sintético | P100 | Ninguno,FINISHED,2025-10-13 16:42:37.811000+00:00,agr2es,v3,nllb-1.3B-distilled,none,3e-05,8,25,10,1,34.55234264502612,5.0,33.77497901995429,13.908251383717538,1120.7958136638006,1.0,16.0
c67a4e2bf69448ab8722d3cf2a989239,awajun_translation_agr2es,NLLB-1.3B | Sintético | P100 | Weighted,FINISHED,2025-10-19 18:17:11.607000+00:00,agr2es,v3,nllb-1.3B-distilled,weighted,3e-05,8,25,10,1,34.05311098998895,11.0,33.383846536396824,13.798830810865933,1422.35801217556,1.0,21.0
4e90b21230b34e678c1e7eeca1b6e7c3,awajun_translation_agr2es,NLLB-1.3B | Sintético | P20 | Ninguno,FINISHED,2025-10-11 07:11:26.375000+00:00,agr2es,v3-top20,nllb-1.3B-distilled,none,3e-05,8,25,10,1,34.86690937575966,5.0,34.47068646223597,14.679208811468037,756.112597211202,1.0,16.0
ecb560fbf1de49f092a77c2cfa55f998,awajun_translation_agr2es,NLLB-1.3B | Sintético | P20 | Oversample,FINISHED,2025-10-15 17:52:12.629000+00:00,agr2es,v3-top20,nllb-1.3B-distilled,oversample,3e-05,8,25,10,1,34.70981801996133,6.0,34.32951732764385,14.553301443306996,809.2369513670603,1.0,17.0
c37128eff9214a4fb7ca835689388c80,awajun_translation_agr2es,NLLB-1.3B | Sintético | P20 | Weighted,FINISHED,2025-10-10 11:34:49.473000+00:00,agr2es,v3-top20,nllb-1.3B-distilled,weighted,3e-05,8,25,10,10,34.54058328655573,9.0,33.72742096693265,14.189641470625107,925.4430366635322,0.0,4.0
a61e1d9c451d4bb68cddfcc66a4d75f2,awajun_translation_agr2es,NLLB-1.3B | Sintético | P40 | Oversample,FINISHED,2025-10-16 16:04:12.309000+00:00,agr2es,v3-top40,nllb-1.3B-distilled,oversample,3e-05,8,25,10,1,35.26717753431877,9.0,34.278045969733085,14.54395271558492,1058.9374286572138,1.0,20.0
414ed14b250f481bb776485025c8c823,awajun_translation_agr2es,NLLB-1.3B | Sintético | P40 | Ninguno,FINISHED,2025-10-12 19:01:56.274000+00:00,agr2es,v3-top40,nllb-1.3B-distilled,none,3e-05,8,25,10,1,34.8184544251939,8.0,34.286575298977986,14.759638957851815,1005.3443232536316,1.0,19.0
452aa33b18e94afb842ca0027369d071,awajun_translation_agr2es,NLLB-1.3B | Sintético | P40 | Weighted,FINISHED,2025-10-16 16:04:50.735000+00:00,agr2es,v3-top40,nllb-1.3B-distilled,weighted,3e-05,8,25,10,1,34.344126304519094,17.0,33.374350040935,13.897669712891881,1302.0508407115935,0.0,25.0
76e391daf05e43289f77cd267bb825ec,awajun_translation_agr2es,NLLB-1.3B | Sintético | P60 | Oversample,FINISHED,2025-10-14 21:41:40.799000+00:00,agr2es,v3-top60,nllb-1.3B-distilled,oversample,3e-05,8,25,10,1,34.93985496024884,7.0,33.64101585441889,13.751584992746462,1081.440440249443,1.0,18.0
9e5db7ab75b0416ebaf4f36dce869212,awajun_translation_agr2es,NLLB-1.3B | Sintético | P60 | Ninguno,FINISHED,2025-10-13 16:46:57.743000+00:00,agr2es,v3-top60,nllb-1.3B-distilled,none,3e-05,8,25,10,1,34.76692695585764,6.0,33.93113143088339,14.208099827625329,1034.851516163349,1.0,17.0
bf7628152522466b8bf8effbdb1e60cc,awajun_translation_agr2es,NLLB-1.3B | Sintético | P60 | Weighted,FINISHED,2025-10-17 14:09:56.925000+00:00,agr2es,v3-top60,nllb-1.3B-distilled,weighted,3e-05,8,25,10,1,34.19702870299864,11.0,33.62692181468094,14.10533614564143,1261.2117882370949,1.0,22.0
1bd5c28c583c43eb86dac88a4bcbbf05,awajun_translation_agr2es,NLLB-1.3B | Sintético | P80 | Ninguno,FINISHED,2025-10-12 18:59:47.399000+00:00,agr2es,v3-top80,nllb-1.3B-distilled,none,3e-05,8,25,10,1,34.94139028046896,5.0,33.364177679953116,13.65059900160909,1033.4392010092736,1.0,16.0
